Ticker,Name,Sector,Industry,Country,Exchange
AMANFEED,Aman Feed Ltd,Consumer Staples,Animal Feed,Bangladesh,DSE
AMBEEPHA,Ambee Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
AMCL(PRAN),Agricultural Marketing Company Ltd (PRAN),Consumer Staples,Food Products,Bangladesh,DSE
ANLIMAYARN,Anlima Yarn Dyeing Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ANWARGALV,Anwar Galvanizing Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
AOL,Amann (Orient) Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
APEXFOODS,Apex Foods Ltd,Consumer Staples,Food Products,Bangladesh,DSE
APEXFOOT,Apex Footwear Ltd,Consumer Discretionary,Footwear,Bangladesh,DSE
APEXSPINN,Apex Spinning & Knitting Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
APEXTANRY,Apex Tannery Ltd,Consumer Discretionary,Leather Goods,Bangladesh,DSE
APOLOISPAT,Apolo Ispat Complex Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
ARAMIT,Aramit Ltd,Basic Materials,Cement & Building Materials,Bangladesh,DSE
ARAMITCEM,Aramit Cement Ltd,Basic Materials,Cement,Bangladesh,DSE
ARGONDENIM,Argon Denims Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ASIAINS,Asia Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
ASIAPACINS,Asia Pacific General Insurance Co Ltd,Financial Services,Insurance,Bangladesh,DSE
ASIATICLAB,Asiatic Laboratories Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
ATLASBANG,Atlas Bangladesh Ltd,Consumer Discretionary,Automobiles,Bangladesh,DSE
AZIZPIPES,Aziz Pipes Ltd,Industrials,Industrial Goods,Bangladesh,DSE
BANGAS,Bangladesh Gas Fields Company Ltd,Energy,Oil & Gas,Bangladesh,DSE
BANKASIA,Bank Asia PLC,Financial Services,Banking,Bangladesh,DSE
BARKAPOWER,Baraka Power Ltd,Utilities,Power Generation,Bangladesh,DSE
BATASHOE,Bata Shoe Company (Bangladesh) Ltd,Consumer Discretionary,Footwear,Bangladesh,DSE
BATBC,British American Tobacco Bangladesh,Consumer Staples,Tobacco,Bangladesh,DSE
BAYLEASING,Bay Leasing & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
BBS,BBS Cables Ltd,Industrials,Cables & Wires,Bangladesh,DSE
BBSCABLES,BBS Cables Ltd,Industrials,Cables & Wires,Bangladesh,DSE
BDAUTOCA,BD Autocars Ltd,Consumer Discretionary,Automobiles,Bangladesh,DSE
BDCOM,BDCOM Online Ltd,Technology,Internet Services,Bangladesh,DSE
BDFINANCE,Bangladesh Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
BDLAMPS,BD Lamps Ltd,Consumer Discretionary,Electrical Goods,Bangladesh,DSE
BDTHAI,BD Thai Aluminium Ltd,Basic Materials,Aluminium,Bangladesh,DSE
BDTHAIFOOD,BD Thai Food & Beverage Ltd,Consumer Staples,Food Products,Bangladesh,DSE
BDWELDING,Bangladesh Welding Electrodes Ltd,Industrials,Industrial Goods,Bangladesh,DSE
BEACHHATCH,Beach Hatchery Ltd,Consumer Staples,Aquaculture,Bangladesh,DSE
BEACONPHAR,Beacon Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
BENGALWTL,Bengal Windsor Thermoplastics Ltd,Basic Materials,Plastics,Bangladesh,DSE
BERGERPBL,Berger Paints Bangladesh Ltd,Basic Materials,Paints & Coatings,Bangladesh,DSE
BESTHLDNG,Best Holdings Ltd,Real Estate,Real Estate,Bangladesh,DSE
BEXGSUKUK,Bangladesh Export Import Company Sukuk,Financial Services,Bonds/Sukuk,Bangladesh,DSE
BGIC,Bangladesh General Insurance Co Ltd,Financial Services,Insurance,Bangladesh,DSE
BIFC,Bangladesh Industrial Finance Company Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
BNICL,Bangladesh National Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
BPML,Beximco Petroleum Ltd,Energy,Oil & Gas,Bangladesh,DSE
BPPL,Bangladesh Precision Products Ltd,Industrials,Engineering,Bangladesh,DSE
BRACBANK,BRAC Bank PLC,Financial Services,Banking,Bangladesh,DSE
BSC,Bangladesh Shipping Corporation,Industrials,Shipping,Bangladesh,DSE
BSCPLC,Bashundhara Cement PLC,Basic Materials,Cement,Bangladesh,DSE
BSRMLTD,BSRM Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
BSRMSTEEL,BSRM Steels Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
BXPHARMA,Beximco Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
CAPITECGBF,Capital Market Stabilization Fund GBF,Financial Services,Mutual Fund,Bangladesh,DSE
CAPMBDBLMF,Capm BDBL Mutual Fund 1,Financial Services,Mutual Fund,Bangladesh,DSE
CAPMIBBLMF,Capm IBBL Islamic Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
CENTRALINS,Central Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
CENTRALPHL,Central Pharma Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
CITYBANK,The City Bank PLC,Financial Services,Banking,Bangladesh,DSE
CITYGENINS,City General Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
CLICL,Commercial Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
CNATEX,C & A Textiles Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
CONFIDCEM,Confidence Cement Ltd,Basic Materials,Cement,Bangladesh,DSE
CONTININS,Continental Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
COPPERTECH,Coppertech Industries Ltd,Basic Materials,Metals,Bangladesh,DSE
CROWNCEMNT,Crown Cement PLC,Basic Materials,Cement,Bangladesh,DSE
CRYSTALINS,Crystal Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
CVOPRL,City Overseas Bank (Formerly Cvoprl),Financial Services,Banking,Bangladesh,DSE
DACCADYE,Dacca Dyeing & Mfg Co Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
DAFODILCOM,Daffodil Computers Ltd,Technology,IT Services,Bangladesh,DSE
DBH,Delta Brac Housing Finance Corp Ltd,Financial Services,Housing Finance,Bangladesh,DSE
DBH1STMF,DBH First Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
DELTALIFE,Delta Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
DELTASPINN,Delta Spinners Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
DESCO,Dhaka Electric Supply Company Ltd,Utilities,Power Distribution,Bangladesh,DSE
DESHBANDHU,Deshbandhu Polymer Ltd,Basic Materials,Plastics,Bangladesh,DSE
DGIC,Dhaka General Insurance Co Ltd,Financial Services,Insurance,Bangladesh,DSE
DHAKABANK,Dhaka Bank PLC,Financial Services,Banking,Bangladesh,DSE
DHAKAINS,Dhaka Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
DOMINAGE,Dominage Steel Building Systems Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
DOREENPWR,Doreen Power Generations & Systems Ltd,Utilities,Power Generation,Bangladesh,DSE
DSHGARME,DSH Garments Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
DSSL,DSSL Solutions Ltd,Technology,IT Services,Bangladesh,DSE
DULAMIACOT,Dulamia Cotton Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
DUTCHBANGL,Dutch-Bangla Bank PLC,Financial Services,Banking,Bangladesh,DSE
EASTERNINS,Eastern Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
EASTLAND,Eastland Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
EASTRNLUB,Eastern Lubricants Blenders Ltd,Energy,Lubricants,Bangladesh,DSE
EBL,Eastern Bank PLC,Financial Services,Banking,Bangladesh,DSE
EBL1STMF,EBL First Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
EBLNRBMF,EBL NRB Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
ECABLES,Energypac Cables Ltd,Industrials,Cables & Wires,Bangladesh,DSE
EGEN,Energypac Power Generation Ltd,Utilities,Power Generation,Bangladesh,DSE
EHL,Emerald Horizon Ltd,Consumer Discretionary,Hotels & Tourism,Bangladesh,DSE
EIL,Eastern Insulators Ltd,Industrials,Electrical Equipment,Bangladesh,DSE
EMERALDOIL,Emerald Oil Industries Ltd,Consumer Staples,Edible Oil,Bangladesh,DSE
ENVOYTEX,Envoy Textiles Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
EPGL,Energypac Power Generation Ltd,Utilities,Power Generation,Bangladesh,DSE
ESQUIRENIT,Esquire Electronics Ltd,Consumer Discretionary,Electronics,Bangladesh,DSE
ETL,EasyText Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
EXIM1STMF,Exim Bank 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
FAMILYTEX,Family Tex (BD) Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
FARCHEM,Far Chemical Industries Ltd,Basic Materials,Chemicals,Bangladesh,DSE
FAREASTFIN,Far East Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
FAREASTLIF,Far East Islami Life Insurance Company,Financial Services,Life Insurance,Bangladesh,DSE
FASFIN,FAS Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
FBFIF,First Bangladesh Fixed Income Fund,Financial Services,Mutual Fund,Bangladesh,DSE
FEDERALINS,Federal Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
FEKDIL,First Electronics & Knitting Dyeing Industries,Consumer Discretionary,Textiles,Bangladesh,DSE
FINEFOODS,Fine Foods Ltd,Consumer Staples,Food Products,Bangladesh,DSE
FIRSTFIN,First Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
FORTUNE,Fortune Shoes Ltd,Consumer Discretionary,Footwear,Bangladesh,DSE
FUWANGCER,Fuwang Ceramic Industry Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
FUWANGFOOD,Fuwang Foods Ltd,Consumer Staples,Food Products,Bangladesh,DSE
GBBPOWER,GBB Power Ltd,Utilities,Power Generation,Bangladesh,DSE
GEMINISEA,Gemini Sea Food Ltd,Consumer Staples,Seafood,Bangladesh,DSE
GENEXIL,Genex Infosys Ltd,Technology,IT Services,Bangladesh,DSE
GENNEXT,Gennext Industries Ltd,Industrials,Industrial Goods,Bangladesh,DSE
GHAIL,Golden Harvest Agro Industries Ltd,Consumer Staples,Agriculture,Bangladesh,DSE
GHCL,General Housing Corporation Ltd,Real Estate,Real Estate,Bangladesh,DSE
GLDNJMF,Golden Jubilee Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
GLOBALINS,Global Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
GOLDENSON,Goldenson Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
GP,Grameenphone Ltd,Technology,Telecommunications,Bangladesh,DSE
GPHISPAT,GPH Ispat Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
GQBALLPEN,G.Q. Ball Pen Industries Ltd,Industrials,Stationery,Bangladesh,DSE
GRAMEENS2,Grameen Shakti Samabay Samity 2 MF,Financial Services,Mutual Fund,Bangladesh,DSE
GREENDELMF,Green Delta Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
GREENDELT,Green Delta Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
GSPFINANCE,GSP Finance Company (Bangladesh) Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
HAKKANIPUL,Hakkani Pulp & Paper Mills Ltd,Basic Materials,Paper & Pulp,Bangladesh,DSE
HAMI,Hami Industries Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
HEIDELBCEM,HeidelbergCement Bangladesh Ltd,Basic Materials,Cement,Bangladesh,DSE
HFL,Hoque Flour & Dal Mills Ltd,Consumer Staples,Food Products,Bangladesh,DSE
HRTEX,H.R. Textile Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
HWAWELLTEX,Huaxiang Welltex (BD) Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
IBNSINA,Ibn Sina Pharmaceutical Industry Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
IBP,International Business Products Ltd,Consumer Staples,Tobacco,Bangladesh,DSE
ICB,Investment Corporation of Bangladesh,Financial Services,Investment Banking,Bangladesh,DSE
ICB3RDNRB,ICB Third NRB Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
ICBAGRANI1,ICB Agrani Bank Mutual Fund 1,Financial Services,Mutual Fund,Bangladesh,DSE
ICBAMCL2ND,ICB AMCL Second Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
ICBEPMF1S1,ICB AMCL IBBL Islamic Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
ICBIBANK,ICB Islamic Bank Ltd,Financial Services,Banking,Bangladesh,DSE
ICBSONALI1,ICB Sonali Bank Limited Mutual Fund 1,Financial Services,Mutual Fund,Bangladesh,DSE
ICICL,Integrated Chemical Industries Ltd,Basic Materials,Chemicals,Bangladesh,DSE
IDLC,IDLC Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
IFADAUTOS,Ifad Autos Ltd,Consumer Discretionary,Automobiles,Bangladesh,DSE
IFIC,IFIC Bank PLC,Financial Services,Banking,Bangladesh,DSE
IFIC1STMF,IFIC Bank 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
IFILISLMF1,IFIL Islami Mutual Fund-1,Financial Services,Mutual Fund,Bangladesh,DSE
ILFSL,Industrial Land & Fishery Co Ltd,Consumer Staples,Aquaculture,Bangladesh,DSE
INDEXAGRO,Index Agro Industries Ltd,Consumer Staples,Agriculture,Bangladesh,DSE
INTECH,Intech Ltd,Technology,IT Services,Bangladesh,DSE
INTRACO,Intraco Refueling Station Ltd,Energy,Oil & Gas,Bangladesh,DSE
IPDC,IPDC Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
ISLAMIBANK,Islami Bank Bangladesh PLC,Financial Services,Banking,Bangladesh,DSE
ISLAMICFIN,Islamic Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
ISLAMIINS,Islami Insurance Bangladesh Ltd,Financial Services,Insurance,Bangladesh,DSE
ISNLTD,ISN Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
ITC,International Technology Corp Ltd,Technology,IT Services,Bangladesh,DSE
JAMUNABANK,Jamuna Bank PLC,Financial Services,Banking,Bangladesh,DSE
JAMUNAOIL,Jamuna Oil Company Ltd,Energy,Oil & Gas,Bangladesh,DSE
JANATAINS,Janata Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
JHRML,J.H.R. Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
JMISMDL,JMI Syringes & Medical Devices Ltd,Healthcare,Medical Devices,Bangladesh,DSE
JUTESPINN,Jute Spinners Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
KARNAPHULI,Karnaphuli Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
KAY&QUE,Kay & Que (Bangladesh) Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
KBPPWBIL,Khulna Power Company Ltd,Utilities,Power Generation,Bangladesh,DSE
KDSALTD,KDS Accessories Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
KEYACOSMET,Keya Cosmetics Ltd,Consumer Staples,Personal Care,Bangladesh,DSE
KOHINOOR,Kohinoor Chemical Company (Bangladesh) Ltd,Consumer Staples,Personal Care,Bangladesh,DSE
KPCL,Karnaphuli Power Company Ltd,Utilities,Power Generation,Bangladesh,DSE
KPPL,Khulna Printing & Packaging Ltd,Industrials,Packaging,Bangladesh,DSE
KTL,Keya Textile Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
LANKABAFIN,LankaBangla Finance PLC,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
LEGACYFOOT,Legacy Footwear Ltd,Consumer Discretionary,Footwear,Bangladesh,DSE
LHB,Lake Shore Hotels Ltd,Consumer Discretionary,Hotels & Tourism,Bangladesh,DSE
LIBRAINFU,Libra Infusions Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
LINDEBD,Linde Bangladesh Ltd,Basic Materials,Industrial Gases,Bangladesh,DSE
LOVELLO,Lovello Ice-Cream PLC,Consumer Staples,Food Products,Bangladesh,DSE
LRBDL,LR Bangladesh Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
LRGLOBMF1,LR Global Bangladesh Mutual Fund One,Financial Services,Mutual Fund,Bangladesh,DSE
MAGURAPLEX,Magura Plex Ltd,Industrials,Packaging,Bangladesh,DSE
MAKSONSPIN,Makson Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MALEKSPIN,Malek Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MARICO,Marico Bangladesh Ltd,Consumer Staples,Personal Care,Bangladesh,DSE
MATINSPINN,Matin Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MBL1STMF,Mercantile Bank Limited 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
MEGCONMILK,Megcon Milk Products Ltd,Consumer Staples,Dairy Products,Bangladesh,DSE
MEGHNACEM,Meghna Cement Mills Ltd,Basic Materials,Cement,Bangladesh,DSE
MEGHNAINS,Meghna Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
MEGHNALIFE,Meghna Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
MEGHNAPET,Meghna Petroleum Ltd,Energy,Oil & Gas,Bangladesh,DSE
MERCANBANK,Mercantile Bank PLC,Financial Services,Banking,Bangladesh,DSE
MERCINS,Mercantile Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
METROSPIN,Metro Spinning Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MHSML,M.H. Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MIDASFIN,MIDAS Financing Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
MIDLANDBNK,Midland Bank PLC,Financial Services,Banking,Bangladesh,DSE
MIRACLEIND,Miracle Industries Ltd,Industrials,Packaging,Bangladesh,DSE
MIRAKHTER,Mir Akhter Hossain Ltd,Industrials,Construction,Bangladesh,DSE
MITHUNKNIT,Mithun Knitting & Dyeing Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MJLBD,MJL Bangladesh Ltd,Energy,Oil & Gas,Bangladesh,DSE
MLDYEING,Mahamuda Dyeing & Printing Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MONNOAGML,Monno Agro & General Machinery Ltd,Industrials,Machinery,Bangladesh,DSE
MONNOCERA,Monno Ceramic Industries Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
MONNOFABR,Monno Fabrics Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
MONOSPOOL,Monospool Ltd,Industrials,Industrial Goods,Bangladesh,DSE
MPETROLEUM,MJL Bangladesh Ltd (MP),Energy,Oil & Gas,Bangladesh,DSE
MTB,Mutual Trust Bank PLC,Financial Services,Banking,Bangladesh,DSE
NAHEEACP,Nahee Aluminum Composite Panel Ltd,Basic Materials,Aluminium,Bangladesh,DSE
NATLIFEINS,National Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
NAVANACNG,Navana CNG Ltd,Energy,CNG,Bangladesh,DSE
NAVANAPHAR,Navana Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
NBL,National Bank PLC,Financial Services,Banking,Bangladesh,DSE
NCCBANK,NCC Bank PLC,Financial Services,Banking,Bangladesh,DSE
NCCBLMF1,NCC Bank Limited 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
NEWLINE,Newline Clothing Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
NFML,Northern Fine Fabrication Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
NHFIL,National Housing Finance & Investments Ltd,Financial Services,Housing Finance,Bangladesh,DSE
NITOLINS,Nitol Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
NORTHERN,Northern Jute Manufacturing Company Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
NORTHRNINS,Northern Islami Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
NPOLYMER,National Polymer Industries Ltd,Basic Materials,Plastics,Bangladesh,DSE
NRBBANK,NRB Bank PLC,Financial Services,Banking,Bangladesh,DSE
NRBCBANK,NRB Commercial Bank PLC,Financial Services,Banking,Bangladesh,DSE
NTC,National Tubes Company Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
NTLTUBES,National Tubes Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
NURANI,Nurani Dyeing & Sweater Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
OAL,Olympic Accessories Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
OIMEX,Oimex Electrode Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
OLYMPIC,Olympic Industries Ltd,Consumer Staples,Food Products,Bangladesh,DSE
ONEBANKPLC,One Bank PLC,Financial Services,Banking,Bangladesh,DSE
ORIONINFU,Orion Infusion Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
ORIONPHARM,Orion Pharma Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
PADMALIFE,Padma Islami Life Insurance Ltd,Financial Services,Life Insurance,Bangladesh,DSE
PADMAOIL,Padma Oil Company Ltd,Energy,Oil & Gas,Bangladesh,DSE
PARAMOUNT,Paramount Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PDL,Paramount Derivatives Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
PENINSULA,Peninsula Chittagong Ltd,Consumer Discretionary,Hotels & Tourism,Bangladesh,DSE
PEOPLESINS,Peoples Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PF1STMF,Prime Finance First Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
PHARMAID,Pharma Aid Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
PHENIXINS,Phonix Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PHOENIXFIN,Phoenix Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
PHPMF1,PHP First Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
PIONEERINS,Pioneer Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PLFSL,Premier Leasing & Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
POPULAR1MF,Popular Life 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
POPULARLIF,Popular Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
POWERGRID,Power Grid Company of Bangladesh Ltd,Utilities,Power Transmission,Bangladesh,DSE
PRAGATIINS,Pragati Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
PRAGATILIF,Pragati Life Insurance Ltd,Financial Services,Life Insurance,Bangladesh,DSE
PREMIERBAN,Premier Bank PLC,Financial Services,Banking,Bangladesh,DSE
PREMIERCEM,Premier Cement Mills Ltd,Basic Materials,Cement,Bangladesh,DSE
PREMIERLEA,Premier Leasing International Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
PRIME1ICBA,Prime Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
PRIMEBANK,Prime Bank PLC,Financial Services,Banking,Bangladesh,DSE
PRIMEFIN,Prime Finance & Investment Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
PRIMEINSUR,Prime Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PRIMELIFE,Prime Islami Life Insurance Ltd,Financial Services,Life Insurance,Bangladesh,DSE
PRIMETEX,Prime Textile Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
PROGRESLIF,Progressive Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
PROVATIINS,Provati Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
PTL,Paramount Textile Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
PUBALIBANK,Pubali Bank PLC,Financial Services,Banking,Bangladesh,DSE
PURABIGEN,Purbani General Insurance Co Ltd,Financial Services,Insurance,Bangladesh,DSE
QUASEMIND,Quasem Industries Ltd,Consumer Staples,Food Products,Bangladesh,DSE
QUEENSOUTH,Queen South Textile Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
RAHIMAFOOD,Rahima Food Corporation Ltd,Consumer Staples,Food Products,Bangladesh,DSE
RAHIMTEXT,Rahim Textile Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
RAKCERAMIC,RAK Ceramics Bangladesh Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
RANFOUNDRY,Rangpur Foundry Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
RDFOOD,RD Food Ltd,Consumer Staples,Food Products,Bangladesh,DSE
